"","city","area_km2"
"1","Dongguan",2424.65496802718
"2","Foshan",3892.09335152354
"3","Guangzhou",7152.77593893394
"4","Huizhou",11334.6883772438
"5","Jiangmen",9404.41909254758
"6","Shenzhen",1921.49428843903
"7","Zhaoqing",14900.5149391064
"8","Zhongshan",1759.01280714632
"9","Zhuhai",1548.33328308577
"10","Macau",33.8104405249835
"11","Hong Kong",1132.15057163974
